Year,Catches
1985,12.151403093759999
1986,16.2718418936
1987,20.8237510116
1988,53.922002274696005
1989,9.734092938248
1990,10.594121967520001
1991,11.671611166248
1992,23.994667080568
1993,12.713505639960001
1994,11.335487700856
1995,11.170338028800002
1996,9.935043719680001
1997,11.989910734
1998,11.820852459680001
1999,8.89835466776
2000,7.7563415534399995
2001,8.478228685520001
2002,9.388410928639999
2003,8.228503609919999
2004,11.93345667368
2005,8.76036744544
2006,7.7578389059912
2007,8.1086997569
2008,9.6438845570928
2009,4.44766006864
2010,4.5810006037936
2011,3.3842874240584004
2012,10.1454992039576
2013,5.5175056978576
2014,5.226834282748
2015,5.0748132414624
2016,7.901967491836
2017,5.5432486767888
2018,7.5958766249192005
