Year,Catches
1985,18.16587745478176
1986,23.54969600211967
1987,181.4525777637243
1988,69.88209955271432
1989,20.178192142042292
1990,22.80209024867844
1991,73.61005803442654
1992,48.66116435434168
1993,40.511292409250224
1994,63.14682648916988
1995,76.59208491762558
1996,57.96731047513053
1997,91.84202098726185
1998,61.97945428246227
1999,68.01028702628108
2000,78.04439036928798
2001,58.7026199064122
2002,99.47477182349692
2003,107.0006441162264
2004,92.37260828227815
2005,91.5361311264613
2006,104.40585537154953
2007,105.14162781597764
2008,151.14967050543967
2009,90.92053063003395
2010,115.52665395423365
2011,144.7418996062874
2012,148.95182757476502
2013,153.2950784925404
2014,175.18427099152663
2015,194.6926124329593
2016,168.458223910914
2017,192.83378099483073
2018,218.74796772605546
