Year,Catches
1888,11.350000000000001
1889,10
1890,10.65
1891,16.55
1892,21.3
1893,24.700000000000003
1894,29.05
1895,32.9
1896,41.75
1897,50.800000000000004
1898,59.85
1899,68.95
1900,103.4
1901,137.9
1902,172.35000000000002
1903,194.35000000000002
1904,216.60000000000002
1905,169.65
1906,277.6
1907,385.55
1908,390.3
1909,395.1
1910,399.85
1911,439.1
1912,459.05
1913,427.5
1914,342.90000000000003
1915,339.5
1916,233.60000000000002
1917,237.45000000000002
1918,202.55
1919,205.25
1920,249.70000000000002
1921,231.8
1922,209.10000000000002
1923,220.45000000000002
1924,223.60000000000002
1925,181.20000000000002
1926,162.60000000000002
1927,168.3
1928,171.9
1929,223.4
1930,193.45000000000002
1931,167.60000000000002
1932,175.55
1933,184.85000000000002
1934,174.20000000000002
1935,171.9
1936,198.45000000000002
1937,178.5
1938,162.15
1939,148.8
1940,172.8
1941,164.45000000000002
1942,189.35000000000002
1943,184.85000000000002
1944,235.4
1945,192.55
1946,224.55
1947,215.45000000000002
1948,221.15
1949,214.3
1950,200.5
1951,226.10000000000002
1952,216.8
1953,190.75
1954,250.4
1955,193.70000000000002
1956,329.1
1957,277.85
1958,254
1959,295.5
1960,288.5
1961,278.75
1962,300.3
1963,232.25
1964,168.5
1965,273.75
1966,273.05
1967,213.4
1968,138.55
1969,211.60000000000002
1970,212.5
1971,149.9
1972,131.1
1973,135.6
1974,127
1975,141.5
1976,125.4
1977,72.35000000000001
1978,98
1979,102.75
1980,73.5
1981,90.95
1982,79.4
1983,144.70000000000002
1984,133.15
1985,186.1220252530145
1986,300.6163173945329
1987,290.00712931183836
1988,159.54292383852535
1989,107.67714092017991
1990,96.89919155340014
1991,108.58893311234523
1992,128.31020628009452
1993,132.3399054223466
1994,99.65380936189675
1995,59.87453341401165
1996,42.96905844788717
1997,55.139304196398705
1998,67.2827106155568
1999,81.08955375463265
2000,99.27763900174503
2001,88.32611255151242
2002,88.79504234650746
2003,102.17771398221274
2004,88.4410107632888
2005,88.11169756557774
2006,110.40114756350994
2007,95.54591916305642
2008,84.31781428494989
2009,61.06953076899907
2010,88.41795936151962
2011,74.17305621949157
2012,61.96924087445578
2013,64.50116156414762
2014,73.22436012376235
2015,67.2517457886854
2016,73.88567707524189
2017,73.28085966910146
2018,98.24266203410494
