year,management_unit,stock,total_mort_lb
1985,CSEO,BRF,19167
1985,EWYKT,BRF,5042
1985,NSEI,BRF,594.67
1985,NSEO,BRF,1546.61
1985,SSEI,BRF,539
1985,SSEO,BRF,0
1985,NSEI,YEI,47063.45
1985,SSEI,YEI,347598.34
1986,CSEO,BRF,27888
1986,EWYKT,BRF,0
1986,NSEI,BRF,2029
1986,NSEO,BRF,2091
1986,SSEI,BRF,2066.1099999999997
1986,SSEO,BRF,3223.19
1986,NSEI,YEI,66671.81
1986,SSEI,YEI,579384.185
1987,CSEO,BRF,40520.19
1987,EWYKT,BRF,319636.16
1987,NSEI,BRF,5792.2
1987,NSEO,BRF,12085
1987,SSEI,BRF,619
1987,SSEO,BRF,5127
1987,NSEI,YEI,103452.7
1987,SSEI,YEI,518102.83
1988,CSEO,BRF,69480.214
1988,EWYKT,BRF,29963.878
1988,NSEI,BRF,5710.064
1988,NSEO,BRF,14442.787
1988,SSEI,BRF,9881.845
1988,SSEO,BRF,6475.174999999999
1988,NSEI,YEI,94847.1575
1988,SSEI,YEI,237894.03175
1989,CSEO,BRF,10374.612
1989,EWYKT,BRF,1028.726
1989,NSEI,BRF,3242.604
1989,NSEO,BRF,6292.945
1989,SSEI,BRF,1895.7379999999998
1989,SSEO,BRF,1441.837
1989,NSEI,YEI,70126.42425
1989,SSEI,YEI,146982.08
1990,CSEO,BRF,12469.423999999999
1990,EWYKT,BRF,363.026
1990,NSEI,BRF,1156.769
1990,NSEO,BRF,8643.517
1990,SSEI,BRF,1585.5700000000002
1990,SSEO,BRF,3448.979
1990,NSEI,YEI,66432.8665
1990,SSEI,YEI,125537.79424999999
1991,CSEO,BRF,116479.88500000001
1991,EWYKT,BRF,2031.57
1991,NSEI,BRF,3409.663
1991,NSEO,BRF,8505.429
1991,SSEI,BRF,1492.291
1991,SSEO,BRF,5049.1089999999995
1991,NSEI,YEI,100517.15625
1991,SSEI,YEI,115740.35425
1992,CSEO,BRF,39313.883
1992,EWYKT,BRF,4433.589
1992,NSEI,BRF,12974.807
1992,NSEO,BRF,15014.083999999999
1992,SSEI,BRF,2169.71
1992,SSEO,BRF,4958.142
1992,NSEI,YEI,124972.65049999999
1992,SSEI,YEI,133170.135
1993,CSEO,BRF,28512.023
1993,EWYKT,BRF,3235.1369999999997
1993,NSEI,BRF,6124.111
1993,NSEO,BRF,11634.697
1993,SSEI,BRF,4578.228999999999
1993,SSEO,BRF,3284.104
1993,NSEI,YEI,132561.58125
1993,SSEI,YEI,132744.68075
1994,CSEO,BRF,84044.925
1994,EWYKT,BRF,2495.398
1994,NSEI,BRF,2857.017
1994,NSEO,BRF,7589.695
1994,SSEI,BRF,3931.0809999999997
1994,SSEO,BRF,2307.973
1994,NSEI,YEI,101219.77175
1994,SSEI,YEI,90167.876
1995,CSEO,BRF,99730.91
1995,EWYKT,BRF,13583.720000000001
1995,NSEI,BRF,2908.1800000000003
1995,NSEO,BRF,10817.77
1995,SSEI,BRF,713.1800000000001
1995,SSEO,BRF,476.51
1995,NSEI,YEI,70844.9925
1995,SSEI,YEI,30848.65
1996,CSEO,BRF,60624.47
1996,EWYKT,BRF,6649.360000000001
1996,NSEI,BRF,3311.35
1996,NSEO,BRF,7402.110000000001
1996,SSEI,BRF,858.0899999999999
1996,SSEO,BRF,2993.66
1996,NSEI,YEI,33101.425
1996,SSEI,YEI,29159.292500000003
1997,CSEO,BRF,86664.86
1997,EWYKT,BRF,5079.58
1997,NSEI,BRF,10144.310000000001
1997,NSEO,BRF,40241.21000000001
1997,SSEI,BRF,1763.5800000000002
1997,SSEO,BRF,6489.450000000001
1997,NSEI,YEI,47095.927500000005
1997,SSEI,YEI,39675.7125
1998,CSEO,BRF,53302.78999999999
1998,EWYKT,BRF,6175.41
1998,NSEI,BRF,3502.29
1998,NSEO,BRF,10926.400000000001
1998,SSEI,BRF,620.06
1998,SSEO,BRF,2957.0699999999997
1998,NSEI,YEI,56443.5625
1998,SSEI,YEI,54593.125
1999,CSEO,BRF,45810.78
1999,EWYKT,BRF,3266.6
1999,NSEI,BRF,3779.71
1999,NSEO,BRF,1256.24
1999,SSEI,BRF,264.08
1999,SSEO,BRF,1315.64
1999,NSEI,YEI,63214.88025
1999,SSEI,YEI,54440.165
2000,CSEO,BRF,21624.74
2000,EWYKT,BRF,2892.1400000000003
2000,NSEI,BRF,1806.17
2000,NSEO,BRF,18875.78
2000,SSEI,BRF,1660.38
2000,SSEO,BRF,1561.75
2000,NSEI,YEI,50530.4225
2000,SSEI,YEI,74742.485
2001,CSEO,BRF,10379.47
2001,EWYKT,BRF,4580.54
2001,NSEI,BRF,2007.4
2001,NSEO,BRF,10454.81
2001,SSEI,BRF,780.07
2001,SSEO,BRF,930.07
2001,NSEI,YEI,50900.2155
2001,SSEI,YEI,71195.6235
2002,CSEO,BRF,60838.990000000005
2002,EWYKT,BRF,3647.13
2002,NSEI,BRF,3168.36
2002,NSEO,BRF,22514.15
2002,SSEI,BRF,10796.419999999998
2002,SSEO,BRF,7631.700000000001
2002,NSEI,YEI,52344.6485
2002,SSEI,YEI,79268.9765
2003,CSEO,BRF,58245.72
2003,EWYKT,BRF,2600.5299999999997
2003,NSEI,BRF,2693.1000000000004
2003,NSEO,BRF,33063.87
2003,SSEI,BRF,2109.37
2003,SSEO,BRF,10123.12
2003,NSEI,YEI,65469.8585
2003,SSEI,YEI,84195.094
2004,CSEO,BRF,28541.04
2004,EWYKT,BRF,7302.28
2004,NSEI,BRF,2646.33
2004,NSEO,BRF,23561.32
2004,SSEI,BRF,674.63
2004,SSEO,BRF,2405.66
2004,NSEI,YEI,72058.2825
2004,SSEI,YEI,48011.615
2005,CSEO,BRF,7118.04
2005,EWYKT,BRF,13225.72
2005,NSEI,BRF,1435.33
2005,NSEO,BRF,703.49
2005,SSEI,BRF,3788.58
2005,SSEO,BRF,2573.78
2005,NSEI,YEI,55321.8705
2005,SSEI,YEI,41413.481999999996
2006,CSEO,BRF,8326.9492
2006,EWYKT,BRF,8660.9833
2006,NSEI,BRF,2517.2112
2006,NSEO,BRF,4680.9035
2006,SSEI,BRF,519.9334
2006,SSEO,BRF,44.6132
2006,NSEI,YEI,65535.355765
2006,SSEI,YEI,56149.00442999999
2007,CSEO,BRF,8205.6877
2007,EWYKT,BRF,8248.047
2007,NSEI,BRF,1588.81
2007,NSEO,BRF,608.3778
2007,SSEI,BRF,616.062
2007,SSEO,BRF,57.1429
2007,NSEI,YEI,56706.66762
2007,SSEI,YEI,49126.51931
2008,CSEO,BRF,7181.3018
2008,EWYKT,BRF,9768.14
2008,NSEI,BRF,2147.46
2008,NSEO,BRF,1196.156
2008,SSEI,BRF,700.822
2008,SSEO,BRF,407.0596
2008,NSEI,YEI,48728.167295
2008,SSEI,YEI,35465.149190000004
2009,CSEO,BRF,5312.5990999999995
2009,EWYKT,BRF,1226.6402
2009,NSEI,BRF,1246.0718
2009,NSEO,BRF,1821.593
2009,SSEI,BRF,1165.3338
2009,SSEO,BRF,146.5902
2009,NSEI,YEI,33674.992835
2009,SSEI,YEI,31750.38334
2010,CSEO,BRF,5224.0099
2010,EWYKT,BRF,855.6123
