year,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
1987,0,0,0,0,5,8,23,42,48,58,58,29,33,18,10,0,2
1988,0,0,1,0,6,4,14,48,58,117,169,195,170,101,54,24,10
1995,1,1,0,1,6,9,17,27,35,41,57,58,44,25,7,2,2
1997,0,3,12,3,14,22,44,78,48,48,35,36,41,21,12,3,0
1998,0,1,7,6,17,10,31,33,30,18,33,25,48,39,34,13,6
1999,0,0,1,0,10,31,21,19,17,30,47,79,74,39,18,1,0
2000,1,1,1,1,2,4,18,34,35,56,98,108,115,68,23,11,1
2003,0,0,1,1,12,15,28,26,28,37,34,48,65,61,30,11,10
2017,2,3,1,4,15,13,60,108,122,71,30,17,1,1,1,0,1
